Title,Description,Status,Priority,Labels,Estimate
"CL-1.1: Registro de organizacion y configuracion de branding","Implementar el flujo de onboarding para dar de alta un club o academia, configurando los colores primarios y secundarios de marca (inyectados como variables CSS en el layout).","Backlog","High","Core,Backend,Fase 1 MVP",8
"CL-1.2: Creador de temporadas y categorias de equipos","Permitir crear temporadas deportivas (ej. 2026/27) y dar de alta equipos vinculandolos a estas temporadas.","Backlog","Medium","Core,Backend,Fase 1 MVP",3
"CL-1.3: Onboarding de usuarios e invitaciones a staff","Flujo para invitar a miembros del cuerpo tecnico o directivo y gestionar su primer inicio de sesion.","Backlog","Medium","Core,Fase 1 MVP",2
"CL-1.4: Permisos RBAC flexible con soporte multi-rol","Refactorizar la base de datos (user_organization_roles) y el helper can.ts en Typescript para permitir que un usuario posea multiples roles concurrentes en el club.","Backlog","High","Core,Security,Fase 1 MVP",8
"CL-1.5: Politicas RLS en base de datos PostgreSQL","Crear e implementar las politicas de seguridad RLS utilizando el helper auth_org_id() para garantizar el aislamiento multi-tenant absoluto.","Backlog","High","Core,Security,Fase 1 MVP",5
"CL-2.1: Ficha de jugador (datos y avatar)","Formularios de alta de jugadores registrando datos biograficos, pie dominante, altura/peso y subida de imagen de avatar.","Backlog","Medium","Core,Fase 1 MVP",3
"CL-2.2: Consentimiento RGPD y anonymized_id","Implementar el checkbox de consentimiento de proteccion de datos (data_sharing_consent) y autogenerar el anonymized_id para canalizaciones de IA.","Backlog","High","Core,Security,Fase 1 MVP",2
"CL-2.3: Campograma visual de posiciones","Desarrollar la interfaz visual de campo de futbol interactivo para asignar y arrastrar las posiciones principales y secundarias de los jugadores.","Backlog","Medium","Frontend,UI,Fase 1 MVP",5
"CL-3.1: Calendario de sesiones y partidos","Desarrollar el calendario interactivo mensual/semanal para planificar entrenamientos y partidos indexados respecto al dia de juego (MD-4 a MD+2).","Backlog","Medium","Rendimiento,Fase 1 MVP",5
"CL-3.2: Biblioteca de ejercicios y plantillas","Base de datos de tareas del club clasificadas por dificultad/objetivo y la funcionalidad de guardar entrenamientos como plantillas.","Backlog","Medium","Rendimiento,Fase 1 MVP",5
"CL-3.3: Registro de asistencia de jugadores","Vista de pase de lista rapido de jugadores en las sesiones de entrenamiento.","Backlog","Low","Rendimiento,Fase 1 MVP",1
"CL-3.4: Registro diario de Wellness y RPE","Formularios optimizados para dispositivos moviles donde los jugadores reportan bienestar diario (sueño, fatiga, humor) y esfuerzo post-sesión (RPE).","Backlog","High","Rendimiento,Mobile,Fase 1 MVP",5
"CL-4.1: Historial de lesiones (fisioterapia)","Crear tabla injuries para registrar diagnosticos, zona muscular, articulacion, gravedad y mecanismo de lesion.","Backlog","High","Salud,Fase 1 MVP",5
"CL-4.2: Planes de tratamiento y readaptacion","Modulo para registrar el plan de fisioterapia y el seguimiento diario de la transicion del jugador hasta el alta.","Backlog","Medium","Salud,Fase 1 MVP",3
"CL-4.3: Semaforo de disponibilidad fisica","Sincronizar de forma reactiva las lesiones activas con el estado en semáforo (verde, amarillo, rojo) visible para el entrenador.","Backlog","High","Salud,Fase 1 MVP",3
"CL-5.1: Base de datos de candidatos externos y ojeadores","Registrar perfiles de jugadores externos bajo observacion vinculandolos a los scouts del club.","Backlog","Medium","Scouting,Fase 1 MVP",3
"CL-5.2: Fichas de scouting y estado de contratacion","Informes de ojeador simplificados y control de viabilidad del fichaje (signed, close, difficult).","Backlog","Low","Scouting,Fase 1 MVP",2
"CL-6.1: Socios y cuotas basicas","Crear el registro basico de socios del club y control manual de cobro de cuotas.","Backlog","Low","Admin,Fase 1 MVP",2
"CL-7.1: Asistente conversacional inteligente (AI Concierge)","Integrar el chat global de IA en la interfaz que actua como copiloto general.","Backlog","High","IA,Fase 2 IA",8
"CL-7.2: Persistencia de analisis de IA (ai_analyses)","Implementar la tabla de cache de analisis de IA para evitar llamadas repetidas y acumular historico.","Backlog","Medium","IA,Backend,Fase 2 IA",3
"CL-7.3: Widgets especializados de IA","Widgets incrustados en entrenamientos y fichas medicas para redactar planes de readaptacion y sugerir ejercicios metodicos.","Backlog","Medium","IA,UI,Fase 2 IA",5
"CL-7.4: RAG conversacional sobre datos de rendimiento","Conectar el chat de IA a los datos de wellness, cargas y asistencia mediante tecnicas RAG.","Backlog","High","IA,Fase 2 IA",8
"CL-7.5: Agentes interfuncionales con enmascaramiento medico","Implementar logica para que el entrenador reciba recomendaciones de salud de la IA sin exponer datos medicos confidenciales del fisio.","Backlog","High","IA,Security,Fase 2 IA",8
"CL-8.1: Registro de estadisticas de partidos","Formularios de acta de partido: goles, alineaciones, tarjetas y minutos jugados.","Backlog","Medium","Estadistica,Fase 2 IA",5
"CL-8.2: Integracion de video local (FFmpeg.wasm)","Desarrollar el modulo WebAssembly (FFmpeg.wasm) para que el entrenador pueda cortar videos de partidos en el navegador de forma local.","Backlog","High","Video,Fase 2 IA",8
"CL-8.3: Descarga y comparticion interna de clips","Permitir descargar los cortes de video localmente para que el entrenador los transmita de forma interna por WhatsApp o Drive.","Backlog","Medium","Video,Fase 2 IA",3
"CL-9.1: Grafo semantico (PostgreSQL + pgvector)","Crear las tablas de aristas/nodos indexadas y vectorizar entidades para el razonamiento contextual de la IA.","Backlog","Medium","IA,Backend,Fase 2 IA",5
"CL-9.2: Alertas predictivas de lesion","Calcular el ratio de carga aguda/crónica y fatiga para generar alertas proactivas automatizadas de riesgo de lesion.","Backlog","High","IA,Salud,Fase 2 IA",5
"CL-9.3: Recordatorios por WhatsApp/Email","Implementar el servicio programado (cron) para enviar avisos automaticos de wellness mediante WhatsApp API o Resend.","Backlog","Medium","Core,Fase 2 IA",3
"CL-10.1: Gestion de socios, abonados e inventario","Modulo avanzado de base de datos social, carnets y control de existencias de material (GPS, balones, equipaciones).","Backlog","Medium","Admin,Fase 3 SaaS",5
"CL-10.2: Inscripciones publicas online de la academia","Portal web publico para que las familias realicen la inscripcion y carga documental en el futbol base.","Backlog","Low","Admin,Fase 3 SaaS",3
"CL-11.1: Cobros recurrentes de cuotas (Stripe/SEPA)","Integrar pasarelas de pago Stripe y domiciliacion bancaria SEPA para cobros recurrentes de cuotas.","Backlog","High","Financiero,Fase 3 SaaS",8
"CL-11.2: Facturacion digital (TicketBAI/Crea y Crece)","Desarrollar el modulo de e-facturacion con firmas hash XML cumpliendo normativas fiscales modernas.","Backlog","High","Financiero,Fase 3 SaaS",8
"CL-11.3: Patrocinios y justificacion de subvenciones","Control economico de ingresos comerciales, contratos de patrocinadores y control de justificacion de ayudas publicas.","Backlog","Low","Financiero,Fase 3 SaaS",3
